"","customer_id","revenue","most_recent_visit","number_of_orders","recency_days"
"6442",35408,509,2005-10-20,6,438
"6443",28813,1221,2006-05-24,14,222
"6444",24950,666,2006-09-08,9,115
"6445",36682,1291,2006-12-05,13,27
"6446",30762,1224,2005-11-01,10,426
"6447",39896,1203,2006-07-23,13,162
"6448",29892,580,2006-09-25,5,98
"6449",5446,231,2005-11-22,4,405
"6450",34778,960,2006-11-20,11,42
"6451",33388,1204,2006-07-14,12,171
"6452",36100,316,2006-04-12,5,264
"6453",8037,920,2006-05-29,8,217
"6454",31995,1088,2006-07-21,11,164
"6455",39300,1503,2006-10-14,14,79
"6456",11823,2022,2006-09-04,16,119
"6457",19491,990,2006-06-21,10,194
"6458",17040,1165,2006-07-20,10,165
"6459",31212,1215,2006-11-26,12,36
"6460",27729,671,2005-12-21,7,376
"6461",34812,611,2006-06-29,9,186
"6462",36970,1017,2005-09-05,10,483
"6463",11495,1171,2005-11-14,10,413
"6464",39686,159,2005-12-28,3,369
"6465",38307,907,2006-06-30,10,185
"6466",25404,933,2006-11-22,9,40
"6467",5085,868,2006-09-08,8,115
"6468",37716,534,2005-09-23,9,465
"6469",15280,782,2005-10-19,9,439
"6470",29691,680,2006-08-17,6,137
"6471",33993,1126,2006-03-23,10,284
"6472",23945,1166,2006-06-08,13,207
"6473",35489,1112,2006-09-04,11,119
"6474",28373,1340,2006-10-15,15,78
"6475",16914,462,2006-12-01,7,31
"6476",31517,739,2006-01-10,6,356
"6477",26439,1007,2006-02-06,12,329
"6478",22787,1495,2006-12-21,12,11
"6479",19420,812,2006-12-16,7,16
"6480",15326,999,2006-12-30,11,2
"6481",36225,978,2006-10-23,12,70
"6482",31310,513,2006-04-05,7,271
"6483",24601,670,2005-08-01,8,518
"6484",6825,993,2006-12-26,9,6
"6485",20639,719,2006-09-15,9,108
"6486",35330,1242,2006-08-11,14,143
"6487",6578,1463,2006-05-11,15,235
"6488",6415,989,2006-06-26,12,189
"6489",32231,862,2006-07-15,8,170
"6490",16915,695,2006-04-07,9,269
"6491",24079,1076,2006-10-29,11,64
"6492",5053,986,2006-03-22,11,285
"6493",37735,858,2006-10-21,10,72
"6494",38531,611,2006-05-31,10,215
"6495",37403,723,2006-09-22,7,101
"6496",37818,1015,2006-10-02,11,91
"6497",26547,789,2006-09-06,10,117
"6498",26981,655,2005-09-19,5,469
"6499",15817,1220,2006-06-18,15,197
"6500",23178,1288,2006-11-10,11,52
"6501",30341,1173,2006-10-05,15,88
"6502",12818,1081,2005-12-22,11,375
"6503",3445,1401,2006-12-23,14,9
"6504",7063,791,2006-12-18,10,14
"6505",6456,636,2006-09-02,6,121
"6506",38509,265,2005-11-16,3,411
"6507",11722,859,2006-04-28,8,248
"6508",9964,620,2006-09-19,10,104
"6509",7697,1002,2006-10-08,12,85
"6510",39941,1105,2006-03-03,10,304
"6511",28553,1073,2006-09-23,10,100
"6512",31269,1150,2006-03-18,9,289
"6513",16436,1700,2006-09-17,14,106
"6514",12677,477,2006-04-26,5,250
"6515",35238,2208,2006-09-10,20,113
"6516",21265,799,2006-05-16,7,230
"6517",1502,528,2005-10-04,6,454
"6518",31603,936,2005-09-26,9,462
"6519",27622,799,2006-08-19,9,135
"6520",18974,988,2005-10-28,11,430
"6521",14411,1528,2006-06-19,14,196
"6522",37971,800,2006-11-16,9,46
"6523",19101,1215,2006-04-03,10,273
"6524",6563,662,2006-09-22,7,101
"6525",5395,1377,2006-11-07,15,55
"6526",31129,543,2006-11-17,8,45
"6527",7656,701,2005-11-18,7,409
"6528",37574,964,2006-06-20,10,195
"6529",28015,816,2006-10-15,8,78
"6530",4438,848,2006-11-25,7,37
"6531",15871,793,2006-06-29,8,186
"6532",16462,1329,2006-08-26,10,128
"6533",21161,788,2006-12-15,10,17
"6534",84,1259,2006-09-24,12,99
"6535",19901,1061,2006-10-03,11,90
"6536",3392,1421,2006-08-06,14,148
"6537",26062,751,2006-11-28,9,34
"6538",18069,381,2006-10-02,6,91
"6539",20556,1059,2006-11-09,11,53
"6540",35293,1351,2006-01-14,11,352
"6541",15938,1260,2006-08-18,14,136
"6542",36735,1144,2005-11-21,8,406
"6543",3932,1119,2006-11-23,13,39
"6544",14783,1223,2006-08-25,12,129
"6545",37353,1348,2005-11-18,11,409
"6546",6320,813,2006-09-22,8,101
"6547",17982,1615,2006-08-27,16,127
"6548",5514,1114,2006-09-11,12,112
"6549",29402,985,2006-08-31,10,123
"6550",28192,1107,2006-08-25,9,129
"6551",11046,1510,2006-11-24,13,38
"6552",5049,924,2006-07-20,10,165
"6553",802,319,2006-09-26,4,97
"6554",35632,726,2006-07-20,9,165
"6555",4367,964,2006-10-02,9,91
"6556",21166,821,2005-12-31,9,366
"6557",21597,498,2006-09-04,6,119
"6558",22656,630,2006-10-18,8,75
"6559",746,1054,2006-09-11,12,112
"6560",343,834,2006-07-15,10,170
"6561",12598,882,2006-06-14,8,201
"6562",34573,1063,2006-12-03,17,29
"6563",21556,1067,2005-09-19,8,469
"6564",5086,609,2006-06-15,8,200
"6565",8618,700,2005-12-12,10,385
"6566",4074,1379,2006-08-29,14,125
"6567",30490,1017,2006-09-13,13,110
"6568",21946,1303,2006-10-18,15,75
"6569",1443,1000,2006-06-22,10,193
"6570",23766,914,2006-05-06,12,240
"6571",37335,575,2006-10-04,11,89
"6572",5726,1154,2006-12-29,10,3
"6573",26588,1012,2006-10-31,9,62
"6574",26983,1241,2006-12-18,10,14
"6575",26044,985,2006-08-06,13,148
"6576",24804,415,2006-10-04,6,89
"6577",38484,515,2006-07-20,8,165
"6578",1126,609,2005-12-20,5,377
"6579",7183,1169,2005-11-11,9,416
"6580",28974,471,2006-05-31,5,215
"6581",14217,722,2006-06-05,10,210
"6582",1198,844,2006-05-07,9,239
"6583",35173,1335,2006-12-03,13,29
"6584",31302,726,2006-12-03,8,29
"6585",5800,717,2006-05-09,9,237
"6586",3804,907,2005-11-01,7,426
"6587",7906,1658,2006-10-31,18,62
"6588",22327,988,2006-12-21,11,11
"6589",11441,709,2006-10-21,6,72
"6590",28973,765,2006-07-26,8,159
"6591",27239,503,2006-08-02,8,152
"6592",35282,1459,2006-10-27,14,66
"6593",353,771,2005-05-22,8,589
"6594",31187,1049,2006-08-16,11,138
"6595",19472,556,2005-12-21,4,376
"6596",19232,595,2006-08-20,7,134
"6597",11930,1707,2006-07-07,14,178
"6598",37036,508,2006-09-01,9,122
"6599",31664,473,2006-12-03,6,29
"6600",23308,220,2005-07-20,4,530
"6601",30986,1157,2006-10-16,12,77
"6602",968,694,2006-11-22,7,40
"6603",12758,799,2006-10-03,9,90
"6604",3807,771,2006-07-21,9,164
"6605",19098,732,2006-09-06,7,117
"6606",4354,1752,2006-09-05,13,118
"6607",37497,726,2006-12-12,8,20
"6608",20961,254,2006-07-12,5,173
"6609",10729,452,2005-08-12,6,507
"6610",28986,242,2006-10-09,4,84
"6611",12173,659,2006-05-06,5,240
"6612",13116,1253,2006-11-26,11,36
"6613",9909,1258,2006-11-26,9,36
"6614",27839,1563,2006-08-04,14,150
"6615",23364,543,2006-09-23,6,100
"6616",24586,848,2006-04-08,9,268
"6617",2758,590,2006-06-03,7,212
"6618",39181,914,2006-10-02,11,91
"6619",10078,990,2006-06-09,9,206
"6620",4662,940,2006-11-30,9,32
"6621",16762,1323,2006-10-21,13,72
"6622",29461,347,2006-02-16,5,319
"6623",3120,959,2006-10-02,8,91
"6624",3184,856,2006-08-28,8,126
"6625",20066,1464,2006-09-25,14,98
"6626",33774,1110,2006-11-08,10,54
"6627",13918,1139,2006-05-22,11,224
"6628",36563,947,2006-06-15,9,200
"6629",33719,1537,2006-11-02,15,60
"6630",27171,1510,2006-08-19,15,135
"6631",37709,899,2006-11-23,9,39
"6632",10751,496,2005-07-30,4,520
"6633",36407,437,2006-05-11,5,235
"6634",39333,691,2006-06-01,9,214
"6635",25318,974,2006-11-17,12,45
"6636",14002,1235,2006-04-12,13,264
"6637",6949,798,2006-04-23,8,253
"6638",28494,1053,2006-05-28,13,218
"6639",23405,794,2006-12-14,9,18
"6640",77,842,2006-07-21,9,164
"6641",13603,906,2006-09-15,10,108
"6642",27702,825,2005-07-28,8,522
"6643",39848,315,2006-01-19,3,347
"6644",9805,540,2006-07-23,8,162
"6645",14944,1234,2006-07-22,14,163
"6646",34918,66,2006-08-31,2,123
"6647",35667,1162,2006-06-24,11,191
"6648",24765,666,2006-06-15,7,200
"6649",14884,400,2005-05-22,3,589
"6650",2125,650,2006-07-10,7,175
"6651",695,758,2005-11-26,7,401
"6652",7033,1149,2006-07-29,9,156
"6653",20693,1625,2006-12-09,12,23
"6654",37862,819,2006-10-01,9,92
"6655",31768,1156,2006-05-08,12,238
"6656",12434,959,2006-03-28,11,279
"6657",564,263,2006-03-30,3,277
"6658",17307,597,2006-01-20,6,346
"6659",8642,1574,2006-10-21,13,72
"6660",31461,540,2006-08-21,8,133
"6661",35924,477,2006-09-19,7,104
"6662",20136,971,2006-09-21,9,102
"6663",27385,629,2006-12-09,7,23
"6664",7391,485,2006-09-17,8,106
"6665",39153,892,2006-05-14,8,232
"6666",39600,582,2006-09-29,8,94
"6667",38386,819,2006-08-11,9,143
"6668",28772,1085,2006-09-07,9,116
"6669",20145,1244,2006-10-09,10,84
"6670",15941,1722,2006-10-16,16,77
"6671",23181,799,2005-10-26,9,432
"6672",7530,1012,2006-09-24,10,99
"6673",13910,1628,2006-07-28,16,157
"6674",24786,695,2006-07-22,9,163
"6675",32579,1555,2006-07-27,15,158
"6676",30875,1619,2006-08-30,15,124
"6677",38967,1118,2006-09-27,8,96
"6678",749,688,2005-09-04,8,484
"6679",24097,496,2006-11-18,8,44
"6680",37673,719,2006-10-22,9,71
"6681",12021,474,2006-07-25,8,160
"6682",3285,1432,2006-07-05,11,180
"6683",5913,1554,2006-07-26,13,159
"6684",18907,1506,2006-12-11,13,21
"6685",5620,557,2006-02-26,7,309
"6686",30922,1383,2006-11-05,15,57
"6687",32069,712,2006-07-17,9,168
"6688",8859,684,2005-12-22,8,375
"6689",16942,1510,2006-04-10,13,266
"6690",32580,829,2006-11-15,9,47
"6691",427,752,2006-05-14,11,232
"6692",21281,952,2005-09-19,8,469
"6693",3350,418,2005-12-03,5,394
"6694",17759,381,2006-08-01,8,153
"6695",6754,640,2006-04-23,7,253
"6696",31833,858,2006-10-13,8,80
"6697",30008,606,2005-11-29,7,398
"6698",30405,1141,2006-09-04,12,119
"6699",15640,856,2006-07-18,11,167
"6700",31047,1252,2006-09-02,14,121
"6701",9696,998,2006-07-20,11,165
"6702",17262,719,2006-09-23,9,100
"6703",7471,1360,2006-07-24,12,161
"6704",5646,855,2006-09-27,8,96
"6705",37001,468,2005-06-06,5,574
"6706",21990,1423,2006-06-11,15,204
"6707",39473,464,2005-09-12,5,476
"6708",24299,1161,2006-10-31,16,62
"6709",23423,778,2006-08-10,7,144
"6710",11044,579,2006-08-03,4,151
"6711",15673,967,2005-09-28,9,460
"6712",34561,696,2006-08-19,10,135
"6713",25448,470,2006-11-05,5,57
"6714",39810,1678,2006-10-16,15,77
"6715",39926,1356,2006-10-21,12,72
"6716",30859,785,2005-09-20,10,468
"6717",16043,553,2006-09-22,8,101
"6718",35979,1058,2006-11-22,10,40
"6719",11615,778,2006-02-10,10,325
"6720",21534,697,2006-11-24,9,38
"6721",10167,894,2006-04-18,9,258
"6722",354,784,2006-12-12,10,20
"6723",36395,921,2006-08-12,9,142
"6724",24391,823,2006-11-17,8,45
"6725",23765,641,2006-05-23,11,223
"6726",4368,1206,2006-08-24,12,130
"6727",11721,248,2006-12-29,5,3
"6728",35394,935,2006-09-26,9,97
"6729",19546,2019,2006-10-22,18,71
"6730",12262,709,2006-08-13,8,141
"6731",21532,822,2006-12-10,9,22
"6732",23648,1441,2006-09-10,15,113
"6733",2833,925,2006-04-16,8,260
"6734",4957,882,2006-11-03,10,59
"6735",17481,626,2006-05-22,7,224
"6736",4817,843,2006-11-08,8,54
"6737",37451,1081,2006-08-28,9,126
"6738",29676,828,2006-10-20,11,73
"6739",11557,735,2006-09-03,9,120
"6740",6741,1401,2006-07-10,15,175
"6741",31740,1033,2006-11-01,13,61
"6742",16855,979,2006-11-30,12,32
"6743",1976,682,2006-10-18,8,75
"6744",9179,831,2006-06-05,9,210
"6745",14953,481,2005-08-24,6,495
"6746",39996,555,2006-03-09,9,298
"6747",28462,1072,2005-09-08,9,480
"6748",33784,1558,2006-04-18,14,258
"6749",19238,777,2005-12-14,10,383
"6750",3053,1563,2006-11-22,15,40
"6751",14023,548,2006-07-20,5,165
"6752",16834,1091,2006-05-30,12,216
"6753",20074,1292,2006-09-05,15,118
"6754",18969,999,2006-10-18,10,75
"6755",6688,1277,2006-06-16,11,199
"6756",7081,872,2006-08-06,9,148
"6757",29738,1051,2006-07-14,10,171
"6758",15242,802,2006-04-20,7,256
"6759",6295,619,2006-12-02,6,30
"6760",13718,306,2005-10-28,4,430
"6761",29813,1071,2006-04-20,10,256
"6762",17003,1016,2006-10-02,10,91
"6763",480,705,2005-09-23,9,465
"6764",21141,1611,2006-11-05,16,57
"6765",4388,1109,2006-10-14,13,79
"6766",36091,686,2006-02-10,10,325
"6767",16716,941,2006-10-02,12,91
"6768",32809,525,2006-10-10,7,83
"6769",34412,1547,2006-06-30,15,185
"6770",30524,1493,2006-01-17,14,349
"6771",17218,1220,2006-11-20,10,42
"6772",24051,832,2006-12-28,7,4
"6773",28634,994,2005-09-20,9,468
"6774",14221,928,2006-08-30,10,124
"6775",26235,674,2005-12-03,7,394
"6776",32578,1011,2006-02-01,13,334
"6777",15253,634,2006-01-24,9,342
"6778",22119,700,2006-06-18,9,197
"6779",24935,849,2006-08-21,10,133
"6780",7376,1970,2006-09-11,19,112
"6781",4154,1084,2006-01-21,11,345
"6782",19551,939,2006-08-12,10,142
"6783",8879,1191,2005-11-27,10,400
"6784",10624,1325,2006-10-05,12,88
"6785",15072,935,2006-11-08,13,54
"6786",9430,1303,2006-06-28,13,187
"6787",1221,941,2006-07-16,11,169
"6788",2636,703,2006-08-30,7,124
"6789",18051,807,2006-12-09,9,23
"6790",1043,1026,2006-10-01,11,92
"6791",15989,1195,2006-07-11,16,174
"6792",3126,1261,2006-11-18,12,44
"6793",15864,910,2006-06-04,10,211
"6794",925,812,2006-04-25,12,251
"6795",19358,772,2006-08-22,9,132
"6796",19888,1341,2006-08-08,11,146
"6797",13843,985,2006-04-03,10,273
"6798",16688,462,2006-03-11,6,296
"6799",17719,487,2006-10-25,6,68
"6800",23955,1423,2006-09-17,13,106
"6801",19772,811,2006-08-24,8,130
"6802",33914,1148,2006-10-07,11,86
"6803",1821,1264,2006-02-01,13,334
"6804",10808,439,2006-05-22,5,224
"6805",39172,1118,2006-06-20,11,195
"6806",14072,1081,2006-09-22,12,101
"6807",29643,413,2006-01-20,6,346
"6808",28514,1333,2006-09-05,14,118
"6809",20847,643,2006-09-03,7,120
"6810",4778,949,2006-05-01,8,245
"6811",9413,863,2006-07-22,8,163
"6812",20219,747,2006-08-22,8,132
"6813",29972,1040,2006-08-15,11,139
"6814",39136,369,2006-11-21,4,41
"6815",21966,710,2006-09-07,6,116
"6816",39549,2117,2006-06-25,18,190
"6817",10411,1283,2006-12-02,14,30
"6818",19426,936,2006-10-08,9,85
"6819",22434,1017,2006-07-02,9,183
"6820",3568,1379,2006-10-23,10,70
"6821",28011,1360,2006-12-22,14,10
"6822",32620,1243,2006-04-22,11,254
"6823",15933,1618,2006-09-10,13,113
"6824",32361,1246,2006-07-27,13,158
"6825",14446,511,2006-05-27,10,219
"6826",11244,832,2005-09-19,9,469
"6827",39878,691,2005-10-23,9,435
"6828",24554,938,2006-03-06,10,301
"6829",14668,1576,2006-10-27,13,66
"6830",17939,1381,2006-10-27,10,66
"6831",23455,1169,2006-05-29,10,217
"6832",30846,596,2006-10-15,6,78
"6833",33928,1357,2006-08-29,12,125
"6834",7468,1454,2006-07-04,14,181
"6835",6182,1452,2006-12-16,12,16
"6836",7133,1204,2006-08-31,14,123
"6837",29768,460,2006-12-02,6,30
"6838",15837,1248,2006-10-19,11,74
"6839",37034,732,2006-08-12,7,142
"6840",15162,687,2006-11-15,8,47
"6841",36394,413,2006-11-30,7,32
"6842",8,615,2005-06-08,6,572
"6843",11725,262,2006-10-22,2,71
"6844",22207,903,2006-07-02,11,183
"6845",39130,604,2006-06-26,11,189
"6846",30758,520,2006-04-05,5,271
"6847",30512,879,2006-11-16,9,46
"6848",6049,647,2005-07-02,7,548
"6849",18582,730,2006-09-06,9,117
"6850",27153,828,2006-05-17,10,229
"6851",14719,1127,2006-09-23,13,100
"6852",37899,1345,2006-06-23,14,192
"6853",12889,879,2006-04-29,11,247
"6854",33636,1178,2006-03-25,11,282
"6855",23258,784,2006-06-01,7,214
"6856",34803,1440,2006-12-01,18,31
"6857",10467,575,2006-08-22,10,132
"6858",36425,1360,2006-08-05,13,149
"6859",4055,1075,2006-09-12,10,111
"6860",26341,884,2006-03-31,9,276
"6861",18751,992,2006-10-30,9,63
"6862",14382,1686,2006-09-14,14,109
"6863",32656,519,2006-09-25,6,98
"6864",3078,1252,2006-11-04,13,58
"6865",16699,435,2006-07-29,7,156
"6866",33145,855,2006-08-10,8,144
"6867",7435,801,2006-07-18,9,167
"6868",30151,1520,2006-11-08,14,54
"6869",24300,1302,2006-08-29,12,125
"6870",8368,1135,2006-08-26,9,128
"6871",24873,547,2006-06-01,7,214
"6872",36768,1611,2006-08-31,14,123
"6873",29337,1075,2006-12-20,12,12
"6874",37588,532,2006-01-11,7,355
"6875",28542,1201,2006-11-08,11,54
"6876",24069,368,2006-04-18,7,258
"6877",38641,513,2006-12-27,5,5
"6878",19172,1366,2006-12-26,16,6
"6879",39727,724,2006-07-09,7,176
"6880",38780,1114,2006-10-27,13,66
"6881",7803,447,2006-07-09,6,176
"6882",15839,1287,2006-12-19,13,13
"6883",12388,1307,2006-10-11,15,82
"6884",27562,1314,2006-07-29,13,156
"6885",12747,1068,2006-07-21,13,164
"6886",35084,852,2006-07-01,9,184
"6887",23514,936,2006-12-26,12,6
"6888",15196,689,2006-10-12,7,81
"6889",32950,1120,2006-11-15,11,47
"6890",36711,1009,2006-08-24,12,130
"6891",9806,464,2006-09-08,5,115
"6892",10951,668,2006-04-11,7,265
"6893",1432,526,2005-07-20,5,530
"6894",1182,868,2006-06-22,7,193
"6895",16409,996,2006-05-28,10,218
"6896",37237,922,2005-09-29,11,459
"6897",4008,902,2006-09-20,9,103
"6898",23004,1187,2006-07-31,11,154
"6899",23231,649,2006-12-07,6,25
"6900",37299,524,2006-07-24,7,161
"6901",18331,1385,2006-12-27,12,5
"6902",631,1356,2006-06-28,17,187
"6903",15721,1006,2006-07-21,10,164
"6904",28761,964,2006-06-17,11,198
"6905",18507,1097,2006-10-31,10,62
"6906",36985,1584,2006-11-29,16,33
"6907",12271,929,2006-12-03,8,29
"6908",35126,1280,2006-11-07,12,55
"6909",6155,618,2005-10-21,7,437
"6910",8758,1227,2006-07-17,11,168
"6911",39756,590,2005-07-16,6,534
"6912",33087,787,2006-07-26,11,159
"6913",34455,907,2006-09-10,11,113
"6914",29370,674,2005-11-02,8,425
"6915",13457,1468,2006-12-26,16,6
"6916",36360,1178,2006-06-01,16,214
"6917",21578,1350,2006-09-01,13,122
"6918",4842,820,2006-11-20,7,42
"6919",24645,789,2006-10-18,8,75
"6920",17910,963,2006-06-10,11,205
"6921",23590,799,2006-04-02,7,274
"6922",16309,684,2006-07-07,8,178
"6923",36398,476,2006-10-23,8,70
"6924",11648,765,2006-08-18,9,136
"6925",7918,1037,2006-12-01,8,31
"6926",21071,729,2005-12-06,10,391
"6927",18959,507,2006-06-04,5,211
"6928",29043,1477,2006-12-24,12,8
"6929",23153,467,2005-11-08,6,419
"6930",23629,1743,2006-12-09,18,23
"6931",37324,893,2006-08-10,9,144
"6932",1086,1056,2006-11-10,10,52
"6933",14076,1217,2006-06-26,11,189
"6934",29175,733,2006-06-28,7,187
"6935",24327,407,2005-10-16,6,442
"6936",38759,792,2006-08-01,11,153
"6937",5953,1081,2006-07-15,9,170
"6938",21811,855,2006-05-25,12,221
"6939",1406,848,2006-01-10,10,356
"6940",6601,1632,2006-09-05,15,118
"6941",20542,686,2006-08-14,9,140
"6942",19037,831,2006-07-08,9,177
"6943",13671,708,2006-09-18,8,105
"6944",1456,1341,2006-06-20,10,195
"6945",7371,1098,2006-06-01,10,214
"6946",7197,721,2006-02-26,9,309
"6947",39907,1423,2006-09-26,12,97
"6948",1603,571,2006-03-27,7,280
"6949",15085,1901,2006-11-09,21,53
"6950",31573,991,2006-04-19,10,257
"6951",24459,942,2006-06-04,11,211
"6952",3287,2244,2006-09-30,20,93
"6953",2384,1155,2006-08-31,12,123
"6954",37481,547,2006-10-03,7,90
"6955",5384,590,2006-04-02,7,274
"6956",29884,1019,2006-07-01,10,184
"6957",29508,1173,2006-09-04,10,119
"6958",2953,1403,2006-11-19,12,43
"6959",30910,1852,2006-10-13,19,80
"6960",21577,1284,2006-07-01,10,184
"6961",14464,165,2005-06-01,3,579
"6962",21123,895,2006-06-27,9,188
"6963",39262,880,2006-05-09,12,237
"6964",5533,805,2006-12-18,12,14
"6965",4679,786,2006-07-26,6,159
"6966",17827,507,2006-08-04,5,150
"6967",20379,1558,2006-10-19,16,74
"6968",21771,1290,2006-01-04,10,362
"6969",27921,85,2005-09-01,2,487
"6970",27951,1076,2006-09-22,10,101
"6971",27479,698,2006-07-08,11,177
"6972",10861,604,2006-03-14,8,293
"6973",24815,1271,2006-08-13,11,141
"6974",1275,1113,2006-10-01,11,92
"6975",17365,593,2006-07-10,5,175
"6976",8863,589,2006-09-03,6,120
"6977",31070,627,2006-03-28,8,279
"6978",13188,614,2006-03-07,7,300
"6979",7833,1003,2005-09-07,7,481
"6980",10980,589,2006-07-08,5,177
"6981",7290,989,2006-03-03,10,304
"6982",319,475,2005-03-21,6,651
"6983",13092,894,2006-11-25,10,37
"6984",22300,787,2006-08-15,10,139
"6985",3271,1494,2006-08-19,12,135
"6986",23517,1219,2006-05-24,10,222
"6987",29449,1120,2006-10-08,11,85
"6988",24224,582,2006-09-16,7,107
"6989",29665,656,2006-10-31,6,62
"6990",37919,650,2006-07-27,7,158
"6991",3154,895,2006-11-02,10,60
"6992",22131,1012,2006-08-26,11,128
"6993",36720,1075,2006-08-13,13,141
"6994",18647,640,2006-10-04,6,89
"6995",36047,1035,2006-02-05,10,330
"6996",31859,1005,2006-10-08,13,85
"6997",22170,884,2006-07-25,8,160
"6998",9049,879,2006-09-07,13,116
"6999",7813,856,2006-07-22,8,163
"7000",29792,782,2006-09-01,9,122
"7001",19416,535,2006-08-31,5,123
"7002",37911,510,2005-10-18,5,440
"7003",36965,597,2006-09-26,7,97
"7004",19960,720,2006-08-01,8,153
"7005",10483,761,2006-04-27,10,249
"7006",1512,993,2006-06-02,9,213
"7007",25619,921,2006-08-11,11,143
"7008",26295,1843,2006-06-28,14,187
"7009",22699,1265,2006-06-05,12,210
"7010",14239,970,2006-09-15,12,108
"7011",30526,1005,2006-09-19,14,104
"7012",9442,1082,2006-10-26,12,67
"7013",30384,706,2006-07-18,8,167
"7014",39309,491,2006-05-25,8,221
"7015",15322,1305,2006-04-03,10,273
"7016",13714,806,2006-08-02,9,152
"7017",487,1191,2006-11-22,10,40
"7018",24364,757,2006-06-08,7,207
"7019",34518,833,2006-09-25,7,98
"7020",33766,688,2006-02-28,8,307
"7021",34195,507,2006-08-30,4,124
"7022",3734,572,2005-09-25,7,463
"7023",15128,1112,2006-06-08,10,207
"7024",39858,1134,2006-07-04,12,181
"7025",1063,715,2005-12-15,6,382
"7026",6322,1318,2006-07-19,15,166
"7027",18736,851,2006-11-28,13,34
"7028",31315,907,2006-12-29,12,3
"7029",3975,575,2006-06-06,7,209
"7030",23570,569,2005-10-18,6,440
"7031",29592,398,2006-12-22,4,10
"7032",10763,430,2005-07-23,6,527
"7033",36335,1143,2006-10-14,17,79
"7034",11330,849,2006-04-10,9,266
"7035",24273,965,2006-09-20,12,103
"7036",37187,384,2006-12-29,6,3
"7037",37817,491,2006-08-03,8,151
"7038",7890,945,2006-09-03,9,120
"7039",850,1152,2006-11-14,11,48
"7040",1059,1508,2006-12-09,17,23
"7041",37051,369,2006-09-24,6,99
"7042",37430,916,2006-10-18,8,75
"7043",25483,1564,2006-07-17,13,168
"7044",13940,1216,2006-11-11,15,51
"7045",33749,567,2006-10-08,5,85
"7046",26890,1326,2006-12-12,10,20
"7047",31808,987,2006-06-01,9,214
"7048",37449,752,2006-12-16,9,16
"7049",2261,1380,2006-11-24,13,38
"7050",19988,554,2006-09-24,8,99
"7051",27303,785,2006-07-08,8,177
"7052",8526,840,2006-07-27,11,158
"7053",9792,666,2005-10-05,8,453
"7054",3340,617,2006-01-29,7,337
"7055",21807,1159,2006-04-15,12,261
"7056",26577,767,2006-07-24,9,161
"7057",10479,878,2006-06-16,8,199
"7058",5001,1109,2005-12-06,12,391
"7059",35406,892,2005-10-05,8,453
"7060",5690,1362,2006-06-09,14,206
"7061",31732,529,2006-04-26,7,250
"7062",19355,483,2006-05-11,5,235
"7063",24710,813,2006-09-23,10,100
"7064",22019,703,2006-10-24,8,69
"7065",577,1386,2006-09-11,14,112
"7066",9349,465,2006-09-27,6,96
"7067",13846,929,2006-11-23,11,39
"7068",13617,660,2006-01-27,7,339
"7069",12217,1176,2006-11-08,13,54
"7070",14214,824,2005-11-08,8,419
"7071",29718,1192,2006-10-17,10,76
"7072",12697,606,2006-11-18,9,44
"7073",13045,758,2006-05-17,6,229
"7074",13966,436,2006-07-17,6,168
"7075",36803,1169,2006-05-02,12,244
"7076",10031,856,2006-09-09,12,114
"7077",17130,943,2006-10-19,10,74
"7078",13964,1447,2006-10-25,16,68
"7079",1639,838,2006-12-28,9,4
"7080",2613,538,2005-12-25,7,372
"7081",35482,1004,2006-09-17,11,106
"7082",24591,581,2006-06-30,9,185
"7083",15385,1206,2006-05-04,13,242
"7084",39978,418,2006-04-06,8,270
"7085",22296,1331,2006-10-01,15,92
"7086",24740,759,2005-10-05,10,453
"7087",16193,1069,2006-07-05,10,180
"7088",39510,824,2006-09-17,9,106
"7089",14282,784,2006-09-10,8,113
"7090",13221,1244,2006-01-18,14,348
"7091",32265,1286,2006-07-31,13,154
"7092",37023,1312,2006-10-10,10,83
"7093",6027,674,2006-03-04,7,303
"7094",36431,835,2006-12-25,13,7
"7095",14346,712,2006-09-12,10,111
"7096",30410,1301,2005-10-07,15,451
"7097",24200,937,2006-12-06,11,26
"7098",17275,957,2006-08-06,10,148
"7099",17577,1086,2006-09-17,10,106
"7100",15006,499,2005-05-10,5,601
"7101",17001,682,2006-12-25,9,7
"7102",16819,508,2006-08-26,9,128
"7103",31648,782,2006-06-26,10,189
"7104",21379,1435,2006-11-14,16,48
"7105",39672,799,2006-09-05,8,118
"7106",34539,791,2006-12-28,10,4
"7107",38813,913,2006-09-13,12,110
"7108",37933,1406,2006-12-13,13,19
"7109",14408,1111,2006-09-09,13,114
"7110",37608,1095,2006-10-28,11,65
"7111",24287,1239,2006-09-23,13,100
"7112",11862,819,2006-08-04,8,150
"7113",34273,530,2006-12-23,7,9
"7114",23651,489,2005-09-13,5,475
"7115",28968,979,2006-07-25,12,160
"7116",25880,720,2006-10-30,7,63
"7117",26523,525,2006-10-07,5,86
"7118",15352,848,2006-05-09,8,237
"7119",8670,365,2005-11-15,4,412
"7120",18549,1520,2006-08-09,13,145
"7121",23102,2039,2006-11-01,20,61
"7122",29686,672,2006-03-22,7,285
"7123",19583,1230,2006-07-24,14,161
"7124",24285,713,2006-10-14,8,79
"7125",28630,1127,2006-09-07,11,116
"7126",35314,616,2006-11-29,6,33
"7127",21921,790,2006-09-22,9,101
